# shape:
# 81 61
# lat  lon  height  topo  gravity  disturbance  topo_effect  bouguer  sediment_effect  moho_anomaly
-6.000000000000000000e+01 2.820000000000000000e+02 1.000000000000000000e+04 -4.943000000000000000e+03 9.788353148007777054e+05 -5.120817571063525975e+00 -3.437612277629277742e+02 3.386404101918642482e+02 -7.912819767476023891e+00 3.465532299593402854e+02
-6.000000000000000000e+01 2.830000000000000000e+02 1.000000000000000000e+04 -4.821000000000000000e+03 9.788444780365343904e+05 4.042418185621500015e+00 -3.377680033659682408e+02 3.418104215515897408e+02 -8.431505202296172286e+00 3.502419267538859344e+02
-6.000000000000000000e+01 2.840000000000000000e+02 1.000000000000000000e+04 -4.744000000000000000e+03 9.788426487607564777e+05 2.213142407708801329e+00 -3.325953765402894078e+02 3.348085189479982091e+02 -9.202936553729644586e+00 3.440114555017278803e+02
-6.000000000000000000e+01 2.850000000000000000e+02 1.000000000000000000e+04 -4.611000000000000000e+03 9.788366014743112028e+05 -3.834144037566147745e+00 -3.244116203845724726e+02 3.205774763470063249e+02 -9.485793956987347286e+00 3.300632703039936473e+02
-6.000000000000000000e+01 2.860000000000000000e+02 1.000000000000000000e+04 -4.450000000000000000e+03 9.788429878283768194e+05 2.552210028050467372e+00 -3.136354781686872570e+02 3.161876881967377244e+02 -9.184822034675994118e+00 3.253725102314137416e+02
-6.000000000000000000e+01 2.870000000000000000e+02 1.000000000000000000e+04 -3.948000000000000000e+03 9.788522305702771991e+05 1.179495192843023688e+01 -2.930659886005986436e+02 3.048609405290288805e+02 -8.505606835180552494e+00 3.133665473642094526e+02
-6.000000000000000000e+01 2.880000000000000000e+02 1.000000000000000000e+04 -4.759000000000000000e+03 9.788492800767798908e+05 8.844458431121893227e+00 -3.226522655288776491e+02 3.314967239599995423e+02 -8.117185147563128922e+00 3.396139091075626766e+02
-6.000000000000000000e+01 2.890000000000000000e+02 1.000000000000000000e+04 -4.038000000000000000e+03 9.788382508602470625e+05 -2.184758101706393063e+00 -2.943818582267994088e+02 2.921971001250930158e+02 -7.661576400741362924e+00 2.998586765258343689e+02
-6.000000000000000000e+01 2.900000000000000000e+02 1.000000000000000000e+04 -4.453000000000000000e+03 9.788405886569491122e+05 1.530386003432795405e-01 -3.050574440908453653e+02 3.052104826911886448e+02 -6.697082595415960959e+00 3.119075652866046084e+02
-6.000000000000000000e+01 2.910000000000000000e+02 1.000000000000000000e+04 -3.633000000000000000e+03 9.788607785994031001e+05 2.034298105433117598e+01 -2.679784405740290936e+02 2.883214216283602696e+02 -6.224156975595046326e+00 2.945455786039553345e+02
-6.000000000000000000e+01 2.920000000000000000e+02 1.000000000000000000e+04 -3.481000000000000000e+03 9.788671632204671623e+05 2.672760211839340627e+01 -2.555734275236666804e+02 2.823010296420600866e+02 -6.470098898836142531e+00 2.887711285408962567e+02
-6.000000000000000000e+01 2.930000000000000000e+02 1.000000000000000000e+04 -3.290000000000000000e+03 9.788672329459649045e+05 2.679732761613558978e+01 -2.441440229872115992e+02 2.709413506033471890e+02 -6.757358745922980248e+00 2.776987093492701888e+02
-6.000000000000000000e+01 2.940000000000000000e+02 1.000000000000000000e+04 -3.152000000000000000e+03 9.788783132626712322e+05 3.787764432246331125e+01 -2.344557014524043836e+02 2.723333457748676665e+02 -6.853117377427315304e+00 2.791864631522950049e+02
-6.000000000000000000e+01 2.950000000000000000e+02 1.000000000000000000e+04 -2.611000000000000000e+03 9.788753519370711874e+05 3.491631872241850942e+01 -2.137186469558791373e+02 2.486349656782976467e+02 -6.943539417095416333e+00 2.555785050953930693e+02
-6.000000000000000000e+01 2.960000000000000000e+02 1.000000000000000000e+04 -3.595000000000000000e+03 9.788703229361963458e+05 2.988731784757692367e+01 -2.594276588790656319e+02 2.893149767266425556e+02 -7.108646846668925434e+00 2.964236235733114881e+02
-6.000000000000000000e+01 2.970000000000000000e+02 1.000000000000000000e+04 -3.886000000000000000e+03 9.788711716163007077e+05 3.073599795193877071e+01 -2.782520140061478173e+02 3.089880119580865880e+02 -7.369861122507912476e+00 3.163578730805945156e+02
