# Generated by process-sam-gravity-data.ipynb on 17 January 2016 19:29:28 UTC
# shape (nlat, nlon):
# 41 31
# lat lon height sediment_free_bouguer
-60.00000 270.00000 50000.00000 202.39878
-60.00000 272.00000 50000.00000 266.31097
-60.00000 274.00000 50000.00000 274.45941
-60.00000 276.00000 50000.00000 282.33581
-60.00000 278.00000 50000.00000 277.04146
-60.00000 280.00000 50000.00000 278.71276
-60.00000 282.00000 50000.00000 278.57843
-60.00000 284.00000 50000.00000 276.55847
-60.00000 286.00000 50000.00000 265.81371
-60.00000 288.00000 50000.00000 264.90868
-60.00000 290.00000 50000.00000 253.41460
-60.00000 292.00000 50000.00000 242.28298
-60.00000 294.00000 50000.00000 236.02427
-60.00000 296.00000 50000.00000 248.34394
-60.00000 298.00000 50000.00000 264.72065
-60.00000 300.00000 50000.00000 274.52981
-60.00000 302.00000 50000.00000 264.95999
-60.00000 304.00000 50000.00000 255.08462
-60.00000 306.00000 50000.00000 252.27957
-60.00000 308.00000 50000.00000 255.53319
-60.00000 310.00000 50000.00000 249.35332
-60.00000 312.00000 50000.00000 247.10092
-60.00000 314.00000 50000.00000 255.64778
-60.00000 316.00000 50000.00000 245.25286
-60.00000 318.00000 50000.00000 226.89032
-60.00000 320.00000 50000.00000 193.49999
-60.00000 322.00000 50000.00000 201.15993
-60.00000 324.00000 50000.00000 186.79888
-60.00000 326.00000 50000.00000 162.01947
-60.00000 328.00000 50000.00000 163.97542
-60.00000 330.00000 50000.00000 161.98874
-58.00000 270.00000 50000.00000 232.08554
-58.00000 272.00000 50000.00000 321.25990
-58.00000 274.00000 50000.00000 340.28674
-58.00000 276.00000 50000.00000 343.85602
-58.00000 278.00000 50000.00000 344.99225
-58.00000 280.00000 50000.00000 334.86851
-58.00000 282.00000 50000.00000 332.51337
-58.00000 284.00000 50000.00000 329.22580
-58.00000 286.00000 50000.00000 317.63166
-58.00000 288.00000 50000.00000 304.94666
-58.00000 290.00000 50000.00000 286.70039
-58.00000 292.00000 50000.00000 281.20665
-58.00000 294.00000 50000.00000 275.58029
-58.00000 296.00000 50000.00000 298.54794
-58.00000 298.00000 50000.00000 306.14405
-58.00000 300.00000 50000.00000 315.02786
-58.00000 302.00000 50000.00000 327.41933
-58.00000 304.00000 50000.00000 333.40123
-58.00000 306.00000 50000.00000 334.85865
-58.00000 308.00000 50000.00000 333.98768
-58.00000 310.00000 50000.00000 320.49356
-58.00000 312.00000 50000.00000 303.65918
-58.00000 314.00000 50000.00000 291.61852
-58.00000 316.00000 50000.00000 281.58231
-58.00000 318.00000 50000.00000 284.37875
-58.00000 320.00000 50000.00000 271.86520
-58.00000 322.00000 50000.00000 269.80251
-58.00000 324.00000 50000.00000 265.32275
-58.00000 326.00000 50000.00000 255.84453
-58.00000 328.00000 50000.00000 267.41432
-58.00000 330.00000 50000.00000 217.19213
-56.00000 270.00000 50000.00000 246.05611
-56.00000 272.00000 50000.00000 320.33654
-56.00000 274.00000 50000.00000 340.57472
-56.00000 276.00000 50000.00000 353.23309
-56.00000 278.00000 50000.00000 345.04205
-56.00000 280.00000 50000.00000 336.68008
-56.00000 282.00000 50000.00000 331.38798
-56.00000 284.00000 50000.00000 317.77501
-56.00000 286.00000 50000.00000 293.86976
-56.00000 288.00000 50000.00000 239.52029
-56.00000 290.00000 50000.00000 160.34329
-56.00000 292.00000 50000.00000 153.83043
-56.00000 294.00000 50000.00000 211.35972
-56.00000 296.00000 50000.00000 278.33784
-56.00000 298.00000 50000.00000 314.42586
-56.00000 300.00000 50000.00000 329.61259
-56.00000 302.00000 50000.00000 333.84211
-56.00000 304.00000 50000.00000 329.59916
-56.00000 306.00000 50000.00000 341.86717
-56.00000 308.00000 50000.00000 336.69185
-56.00000 310.00000 50000.00000 330.06711
-56.00000 312.00000 50000.00000 317.88543
