# Generated by process-sam-gravity-data.ipynb on 17 January 2016 20:04:32 UTC
# shape (nlat, nlon):
# 81 61
# lat lon height topo gravity disturbance topo_effect bouguer upper_sediment middle_sediment lower_sediment total_sediment sedfree_bouguer
-60.00000 305.00000 50000.00000 -3516.00000 966698.80429 24.21632 -211.69915 235.91548 -15.79694 -1.36306 -0.03035 -17.19035 253.10582
-60.00000 306.00000 50000.00000 -3023.00000 966702.28462 27.69666 -206.89536 234.59202 -16.30651 -1.35120 -0.02984 -17.68755 252.27957
-60.00000 307.00000 50000.00000 -3454.00000 966706.65625 32.06829 -208.26334 240.33162 -16.75849 -1.33743 -0.02932 -18.12524 258.45686
-60.00000 308.00000 50000.00000 -3276.00000 966703.83150 29.24354 -207.78479 237.02833 -17.15390 -1.32216 -0.02880 -18.50486 255.53319
-60.00000 309.00000 50000.00000 -3518.00000 966696.76889 22.18093 -209.10228 231.28321 -17.44206 -1.30573 -0.02828 -18.77607 250.05928
-60.00000 310.00000 50000.00000 -3275.00000 966693.57940 18.99144 -211.69904 230.69048 -17.34661 -1.28844 -0.02779 -18.66284 249.35332
-60.00000 311.00000 50000.00000 -3916.00000 966690.22504 15.63708 -218.74194 234.37902 -17.33942 -1.27054 -0.02733 -18.63728 253.01630
-60.00000 312.00000 50000.00000 -3813.00000 966686.21186 11.62390 -216.67351 228.29740 -17.52439 -1.25224 -0.02689 -18.80351 247.10092
-60.00000 313.00000 50000.00000 -2910.00000 966685.10196 10.51400 -212.86288 223.37689 -17.57090 -1.23368 -0.02648 -18.83106 242.20795
-60.00000 314.00000 50000.00000 -4729.00000 966679.32821 4.74025 -232.06279 236.80304 -17.60368 -1.21497 -0.02610 -18.84475 255.64778
-60.00000 315.00000 50000.00000 -5298.00000 966669.59261 -4.99536 -242.24983 237.25447 -17.50984 -1.19615 -0.02574 -18.73173 255.98620
-60.00000 316.00000 50000.00000 -4758.00000 966669.39810 -5.18986 -232.05353 226.86367 -17.18656 -1.17723 -0.02541 -18.38920 245.25286
-60.00000 317.00000 50000.00000 -3343.00000 966678.69879 4.11083 -211.32163 215.43246 -16.61100 -1.15820 -0.02510 -17.79430 233.22675
-60.00000 318.00000 50000.00000 -3442.00000 966688.32289 13.73493 -196.16252 209.89745 -15.82901 -1.13906 -0.02480 -16.99287 226.89032
-60.00000 319.00000 50000.00000 -2501.00000 966696.22176 21.63380 -172.85809 194.49189 -15.42399 -1.11983 -0.02453 -16.56835 211.06024
-60.00000 320.00000 50000.00000 -1542.00000 966700.50171 25.91375 -151.05297 176.96672 -15.40844 -1.10057 -0.02427 -16.53328 193.49999
-60.00000 321.00000 50000.00000 -1575.00000 966698.33802 23.75006 -150.10292 173.85298 -15.48365 -1.08136 -0.02402 -16.58904 190.44202
-60.00000 322.00000 50000.00000 -2933.00000 966694.53172 19.94376 -164.56657 184.51033 -15.56350 -1.06232 -0.02379 -16.64960 201.15993
-60.00000 323.00000 50000.00000 -2800.00000 966696.46067 21.87271 -162.58129 184.45400 -14.77609 -1.04357 -0.02356 -15.84322 200.29722
-60.00000 324.00000 50000.00000 -1995.00000 966702.40514 27.81718 -145.20534 173.02252 -12.72779 -1.02522 -0.02335 -13.77636 186.79888
-60.00000 325.00000 50000.00000 -1278.00000 966704.81776 30.22980 -129.32695 159.55675 -10.39600 -1.00738 -0.02314 -11.42652 170.98327
-60.00000 326.00000 50000.00000 -1448.00000 966704.51969 29.93173 -122.28653 152.21826 -8.78816 -0.99011 -0.02294 -9.80121 162.01947
-60.00000 327.00000 50000.00000 -879.00000 966707.85842 33.27045 -114.00909 147.27954 -7.94317 -0.97347 -0.02274 -8.93939 156.21893
-60.00000 328.00000 50000.00000 -924.00000 966711.66044 37.07248 -118.10970 155.18217 -7.81321 -0.95748 -0.02255 -8.79324 163.97542
-60.00000 329.00000 50000.00000 -2742.00000 966711.39436 36.80640 -134.08261 170.88900 -7.15608 -0.94213 -0.02237 -8.12058 179.00958
-60.00000 330.00000 50000.00000 -2480.00000 966712.68481 38.09685 -117.32479 155.42163 -5.61751 -0.92741 -0.02219 -6.56711 161.98874
-59.00000 270.00000 50000.00000 -5034.00000 966588.82205 -6.10708 -232.05686 225.94978 -4.72133 -0.84971 -0.02303 -5.59407 231.54385
-59.00000 271.00000 50000.00000 -5061.00000 966589.27715 -5.65198 -288.24340 282.59142 -5.87900 -0.86216 -0.02326 -6.76442 289.35584
-59.00000 272.00000 50000.00000 -5051.00000 966588.82553 -6.10359 -310.44729 304.34369 -6.51143 -0.87524 -0.02350 -7.41017 311.75387
-59.00000 273.00000 50000.00000 -5334.00000 966588.86179 -6.06734 -321.27441 315.20707 -6.89000 -0.88901 -0.02376 -7.80278 323.00985
-59.00000 274.00000 50000.00000 -4789.00000 966591.00716 -3.92197 -322.21099 318.28902 -7.13825 -0.90356 -0.02403 -8.06584 326.35486
-59.00000 275.00000 50000.00000 -5095.00000 966591.73687 -3.19226 -326.13016 322.93790 -7.50323 -0.91896 -0.02432 -8.44652 331.38442
-59.00000 276.00000 50000.00000 -5091.00000 966589.87906 -5.05007 -328.85444 323.80437 -7.92123 -0.93533 -0.02463 -8.88119 332.68556
-59.00000 277.00000 50000.00000 -5139.00000 966588.82769 -6.10144 -329.57883 323.47739 -8.18124 -0.95278 -0.02496 -9.15898 332.63637
-59.00000 278.00000 50000.00000 -5101.00000 966590.90425 -4.02487 -326.39464 322.36977 -8.24777 -0.97142 -0.02532 -9.24450 331.61427
-59.00000 279.00000 50000.00000 -4550.00000 966591.83413 -3.09499 -320.11076 317.01577 -8.09697 -0.99140 -0.02569 -9.11406 326.12983
-59.00000 280.00000 50000.00000 -4946.00000 966590.79689 -4.13224 -319.91544 315.78320 -8.13857 -1.01285 -0.02610 -9.17752 324.96072
