# Synthetic point estimates of Moho depth (from CRUST1.0)
# Generated by sinthetic-crust1.ipynb on 12 February 2016 18:08:15 UTC
# Moho depth is given in meters.
# lat lon depth
8.60000 -52.64000 12341.49328
8.93000 -52.49000 12476.48685
9.26000 -52.34000 13301.21918
9.79000 -52.10000 14605.12046
-1.25000 -39.71670 11730.34013
-0.98330 -40.41670 12152.71421
-0.63330 -39.95000 11932.89311
-0.35000 -40.50000 12796.27880
0.91670 -38.91670 12053.07444
1.05000 -39.25000 12103.71167
4.96670 -46.80000 14435.36300
5.41670 -46.61670 13937.50040
2.15000 -44.55000 14303.39117
2.86670 -44.65000 13916.03392
2.83330 -42.80000 13219.84674
-10.98000 -81.50000 13756.69984
-10.23000 -82.13000 13306.45610
-10.23000 -82.13000 13306.45610
-10.53000 -83.07000 11138.10197
-8.73000 -82.32000 11142.74070
-7.85000 -82.62000 11346.76187
-7.85000 -82.62000 11346.76187
-7.55000 -81.68000 10773.89330
-8.63000 -79.30000 27697.03152
-7.33000 -80.05000 28861.09063
-12.00000 -86.30000 11299.30864
-12.00000 -81.70000 11285.02340
-12.00000 -80.45000 10810.38269
-12.00000 -79.95000 10628.66736
-12.00000 -79.00000 15370.28603
-9.40000 -80.80000 11438.28100
-34.50000 -49.18000 15288.06692
-34.00000 -48.28000 14829.43151
-33.98000 -47.88000 15084.67796
-33.87000 -46.60000 14895.00272
-33.95000 -45.43000 11868.27073
-33.38000 -44.07000 15059.78779
-33.28000 -42.42000 13258.56643
-33.20000 -41.82000 12580.00903
-33.08000 -40.77000 12410.89680
-32.90000 -39.77000 12616.90205
-31.40000 -40.08000 11911.06114
-31.10000 -39.72000 12010.94900
-31.40000 -40.08000 11911.06114
-30.87000 -39.45000 12087.72429
-28.60000 -41.52000 12119.89820
-28.92000 -41.07000 11832.71272
-27.17000 -43.45000 16942.42040
-27.53000 -43.07000 15328.04646
1.70000 -76.20000 44324.79896
2.60000 -75.70000 59786.76649
3.40000 -75.20000 63128.49679
-0.40000 -78.40000 54242.00952
3.97000 -81.16000 18854.44333
3.92000 -80.76000 20650.73180
3.87000 -80.40000 18726.72502
3.85000 -80.07000 14572.13515
3.80000 -79.68000 9488.78239
3.78000 -79.23000 11348.56003
3.76000 -78.86000 16701.90974
3.77000 -78.48000 21404.06872
3.74000 -78.09000 26092.62891
3.77000 -77.69000 29072.32527
3.70000 -77.40000 29592.17886
3.68000 -77.34000 29489.77199
3.80000 -76.65000 28586.48264
3.74000 -76.40000 32599.02510
3.97000 -81.16000 18854.44333
3.92000 -80.76000 20650.73180
3.87000 -80.40000 18726.72502
3.85000 -80.07000 14572.13515
3.80000 -79.68000 9488.78239
3.78000 -79.23000 11348.56003
3.76000 -78.86000 16701.90974
3.77000 -78.48000 21404.06872
3.74000 -78.09000 26092.62891
3.56000 -81.06000 16433.54574
3.34000 -80.76000 16333.14572
3.06000 -80.44000 14623.02804
2.78000 -80.07000 13962.84061
2.50000 -79.70000 15873.67108
2.27000 -79.36000 19276.30134
2.08000 -79.08000 21280.56544
4.10000 -76.30000 32934.21232
9.70000 -64.61000 40039.42992
9.33000 -64.35000 43749.51350
8.94000 -64.19000 44547.71526
8.19000 -63.87000 40331.54252
7.80000 -63.60000 39464.17618
7.20000 -63.40000 39218.86851
-13.30710 -50.25570 40095.24236
-13.26550 -49.71290 37242.08993
-13.33000 -49.29000 36440.80374
-13.39090 -48.87410 37159.41235
-13.54690 -48.57780 38055.13643
-13.50000 -48.35000 38619.46267
-13.53000 -48.09000 39294.88043
-13.63290 -47.79490 39993.93204
-13.80030 -47.37530 40479.19632
-13.80730 -46.87730 40895.53931
-13.95860 -46.33470 40932.51138
-14.26620 -45.97460 40772.77808
-14.64860 -45.65670 40553.27411
-9.33000 -39.95000 41550.43519
-8.82000 -40.03000 42061.41932
-8.27000 -40.12000 41426.69084
-9.72000 -40.33000 41592.51587
-9.60000 -40.78000 42512.28694
-9.40000 -41.35000 42822.38299
4.32000 -47.64000 16903.62871
4.31000 -47.40000 16077.68632
4.32000 -47.17000 15623.52891
4.34000 -46.95000 15567.41465
4.37000 -46.71000 15593.69668
4.40000 -46.50000 15541.84920
4.41000 -46.28000 15339.72016
4.42000 -46.04000 14952.48268
4.62000 -47.44000 15244.20964
5.25000 -46.75000 14085.85779
5.60000 -46.37000 13518.67794
5.93000 -46.00000 12808.04667
-20.50000 -39.00000 18818.84603
-21.00000 -40.00000 22160.20766
-21.00000 -39.00000 17969.22893
-21.00000 -38.00000 13348.62348
-22.00000 -41.00000 28110.91808
-22.00000 -40.00000 22770.62739
-22.00000 -39.00000 17839.06029
-22.00000 -38.00000 12996.31812
-23.00000 -42.00000 26558.33384
-23.00000 -41.00000 23610.29812
-23.00000 -40.00000 19862.10986
-23.00000 -39.00000 16457.34751
-23.00000 -38.00000 13587.40186
-24.00000 -43.00000 23303.38137
-24.00000 -42.00000 21374.27755
-24.00000 -41.00000 19111.55954
-24.00000 -40.00000 15906.15182
-24.00000 -39.00000 15668.85310
-24.00000 -38.00000 14870.49244
-25.00000 -47.00000 33781.06649
-25.00000 -46.00000 29269.11002
-25.00000 -45.00000 24553.62758
-25.00000 -44.00000 23552.88698
-25.00000 -43.00000 20210.71827
-25.00000 -42.00000 18191.66367
-25.00000 -41.00000 15543.00089
-25.00000 -40.00000 12631.04797
-25.00000 -39.00000 13854.50012
-25.00000 -38.00000 14428.75837
-26.00000 -47.00000 32306.08788
-26.00000 -46.00000 32567.60410
-26.00000 -45.00000 26481.37272
-26.00000 -44.00000 23294.29860
-26.00000 -43.00000 21152.08799
-26.00000 -42.00000 19015.38758
-26.00000 -41.00000 16497.73574
-26.00000 -40.00000 13473.22940
-26.00000 -39.00000 14005.53416
-27.00000 -47.00000 30501.50885
-27.00000 -46.00000 30189.73562
-27.00000 -45.00000 23442.53050
-27.00000 -44.00000 18887.77808
-27.00000 -43.00000 18823.71791
-27.00000 -42.00000 18275.18144
-27.00000 -41.00000 15716.95618
-27.00000 -40.00000 13159.27408
-27.00000 -39.00000 13367.99427
-28.00000 -47.00000 28584.84852
-28.00000 -46.00000 23304.69011
-28.00000 -45.00000 17949.53065
-28.00000 -44.00000 13792.97865
-28.00000 -43.00000 13907.06723
-28.00000 -42.00000 15385.37788
-28.00000 -41.00000 11945.57310
-28.00000 -40.00000 11165.97937
-28.00000 -39.00000 12232.66179
-28.80000 -47.00000 25119.75256
-28.80000 -46.00000 19752.46107
-28.80000 -45.00000 15676.60623
-28.80000 -44.00000 13106.04463
-28.90000 -43.00000 12336.82739
-28.90000 -42.00000 12323.88561
-28.90000 -41.00000 11834.74314
-28.90000 -40.00000 11553.32410
-5.90100 -38.07300 31306.25794
-6.11500 -37.84000 31410.29535
-6.42000 -37.50800 31862.06899
-6.42600 -37.50100 31876.15060
-6.63700 -37.27200 32226.37194
-6.84700 -37.04200 32278.12401
-6.87800 -37.00900 32270.36377
-7.09100 -36.77600 32151.06017
-7.12100 -36.74200 32129.44029
-7.36500 -36.47500 32090.78541
-7.60800 -36.20900 32396.44572
-7.63900 -36.17500 32458.12093
-7.94300 -35.84100 33074.47116
-8.15500 -35.60600 33205.79946
-8.38300 -35.35500 32557.63499
-8.61000 -35.10400 30441.10337
-3.35000 -40.82000 32238.07381
-3.66000 -40.49000 32793.51472
-3.96000 -40.16000 32620.27753
-4.27000 -39.82000 31289.42246
-4.57000 -39.49000 30654.98540
-4.88000 -39.15000 31142.90175
-5.34000 -38.65000 31746.68665
-5.80000 -38.15000 31312.61717
-5.64000 -36.83000 30272.97371
-6.36000 -37.09000 31665.07812
-6.79000 -37.23000 32438.72654
-7.52000 -37.49000 34380.51312
-8.24000 -37.74000 34329.48142
-8.93000 -37.98000 35305.83382
-9.36000 -38.12000 36120.39482
-10.38000 -38.48000 35226.10602
-11.24000 -38.78000 33796.58213
-12.10000 -39.07000 41304.93507
-25.70000 -45.40000 29328.44658
-6.15000 -69.90000 43776.10984
-6.50000 -69.90000 44723.23089
-5.55000 -37.75000 30646.94918
4.00000 -75.00000 57128.88899
2.01000 -80.12000 15795.99037
1.85000 -79.95000 18665.67272
1.65000 -79.72000 23684.61904
1.45000 -79.49000 27528.38902
-19.10000 -43.00000 37952.65883
-11.08000 -36.99000 23886.79024
-11.28000 -36.75000 20652.34990
-11.49000 -36.50000 17568.58888
-11.69000 -36.25000 15176.77681
5.84330 -61.46130 35100.12300
6.71260 -61.63920 36780.24764
6.58610 -66.84260 37314.51590
7.32620 -66.32160 42998.38772
7.34290 -61.82560 39080.97890
7.41690 -65.18810 41390.03182
7.65080 -64.07310 42029.38997
7.75980 -63.08540 40111.41456
7.86050 -62.06550 40530.86298
8.06900 -61.81450 39694.96972
5.42050 -67.65610 31718.25708
8.03440 -62.65500 41959.89439
9.35960 -63.05750 47416.27707
10.14490 -62.94260 34838.62731
8.98760 -62.74440 47797.26953
9.74380 -63.79720 40953.81735
8.50190 -63.62500 39736.56950
9.58250 -64.29420 41654.37530
8.96530 -64.79560 46043.98005
8.13650 -66.25440 44850.44089
8.32760 -65.94430 45692.99741
8.94850 -66.43610 41146.06093
9.26170 -66.29720 40168.51395
8.51270 -66.32190 43572.67145
8.85710 -67.38650 40330.14593
8.94330 -68.04150 39903.05496
7.00110 -69.48320 48603.82329
10.16330 -64.58970 32888.39091
10.06390 -65.80560 35977.94609
10.47570 -66.26920 30955.38473
10.63770 -62.20820 26771.47504
10.61650 -63.18420 26394.11826
10.47820 -63.65060 28021.14949
10.19410 -63.53010 33501.04241
10.65100 -63.82690 25933.78030
10.15760 -63.82640 34075.12655
9.90920 -66.38470 35624.22636
9.88720 -67.39680 33103.10769
10.44740 -67.83820 26832.07029
9.95860 -69.28650 34827.06052
11.08660 -68.83420 26655.72973
10.01280 -69.96110 36147.00319
10.64890 -69.80790 35472.27099
10.20610 -70.52340 38136.99871
10.92190 -70.63620 34408.51377
9.50100 -69.53650 36118.97788
8.88630 -70.62600 38516.16414
8.28420 -70.85660 40896.87265
8.84010 -71.36420 43854.74109
7.86490 -72.31430 45719.15904
10.50300 -72.40610 49634.62616
11.35520 -63.13200 22330.89945
10.78580 -63.99250 25030.81930
11.82160 -64.59770 22776.64370
11.95500 -69.97050 22513.56827
12.35850 -70.90230 16464.24778
11.84990 -65.41800 21968.75886
11.75150 -63.76990 21024.24890
13.94970 -66.49100 19260.90657
10.67960 -65.22000 28101.07568
11.24930 -66.50090 18961.91198
11.27070 -67.34960 18927.97294
12.72090 -64.93130 20570.81059
7.45000 -64.00000 41465.50876
7.45000 -64.60000 43609.43154
7.00000 -63.13000 38828.28060
7.20000 -63.27000 39089.16929
7.50000 -62.70000 39507.18767
9.55000 -67.34000 35619.01462
11.00000 -67.82000 23903.29963
11.00000 -67.62000 22501.75930
11.20000 -66.24000 20003.96710
11.60000 -66.24000 17255.85257
10.60000 -69.54000 35629.61107
11.48000 -69.64000 26865.81739
-17.83000 -68.43000 57808.42742
-17.36000 -68.11000 58885.67490
-16.62000 -68.17000 57402.60745
-16.30000 -67.82000 55688.57242
-15.93000 -67.54000 54786.06174
-16.41000 -68.51000 56184.93819
-17.28000 -68.74000 56796.41049
-17.53000 -68.17000 58751.92669
-17.89000 -67.83000 60399.77232
-18.10000 -68.23000 58822.64503
-18.56000 -67.60000 62266.33821
-19.99000 -70.00000 38057.10460
-19.89000 -69.31000 53326.58163
-19.34000 -68.86000 59564.37920
-19.74000 -68.86000 59688.66124
-19.56000 -68.29000 61038.21609
-19.18000 -67.83000 56253.46194
-19.38000 -67.83000 56951.88377
-19.58000 -67.83000 57373.67768
-18.83000 -67.31000 61305.31089
